zip_code,county_code,city,state,county_name,gender,marital_status,age,income,median_income,education_code,occupation,num_in_hhld,num_of_adults,num_of_children,child0_3,child4_6,child7_9,child10_11,child13_18,children,home_owner,dwelling_type,year_structure,median_home_value,len_of_residence,great_outdoors,sporting_life,health_fitness,luxury_life,doit_yourselfer,truck_owner,motor_cycle,sports,entertainment_enth,hobbyists,avid_readers,collectors,travel,pets,music,toys,art_craft,gardening,family,food,cars,casino_gambling,contributors,travel_business,travel_personal,travel_vacation,donor_arts_or_cultural,contributor_index,AAPPAREL,ACASHCONT,AEDUCATN,AENTRTAIN,AFOODTOTL,AGTOTALE,AHEALTH,AHOUSING,AINSPENSN,AREADING,ATRANS
90605,37,Whittier,CA,Los Angeles,F,M,81,K,118,,0,5,5,0,,,,,,,Y,S,1949,933,1,,,1,1,,,,,,1,1,,1,,,,1,1,,1,,,,,,1,,1,1923.1,1763.77,1604.06,2959.88,8000.07,1206.09,4217.46,22750.33,6745.46,119.32,12459.28
33133,86,Miami,FL,Miami-Dade,M,S,0,D,255,,0,0,1,0,,,,,,,Y,S,1982,985,15,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,1361.05,1460.01,580.67,2318.75,6320.81,688.04,3748.83,16672.73,4789.86,74.97,12240.98
11780,103,Saint James,NY,Suffolk,F,M,39,O,250,,0,0,2,0,,,,,,,,S,,0,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,2299.64,2508.33,2517.62,3110.53,8030.98,1616.96,5375.35,25190.96,8989.56,150.05,13765.05
60601,31,Chicago,IL,Cook,M,S,62,L,86,3,0,2,1,0,,,,,,,Y,A,1883,411,5,1,,,,1,,,,,,,1,1,,,,1,,,,,,1,,,1,,6,2801.34,1672.64,1807.32,2962.57,7838.46,1031.17,4243.11,20834.88,7636.02,97.63,13331.89
11791,59,Syosset,NY,Nassau,F,M,39,O,131,,0,4,2,2,,1,1,,,1,Y,S,1982,655,5,,,,,,,,,,,,,1,,,,,,1,,,,1,,,1,,5,2618.23,2637.67,2713.8,3268.4,8549.25,1713.82,5478.57,26574.93,9853.06,151.09,14439.97
10706,119,Hastings On Hudson,NY,Westchester,F,S,78,O,120,3,0,5,5,0,,,,,,,Y,S,1971,651,15,1,,1,1,1,1,,,1,1,1,,1,,1,,,1,1,1,1,,1,,,1,,1,2490.16,2509.72,2524.89,3205.87,8477.36,1689.6,5604.43,26474.86,9666.92,154.71,14471.67
94040,85,Mountain View,CA,Santa Clara,M,M,58,O,146,,0,2,2,0,,,,,,,Y,S,1989,999,15,,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,,1,,,1,,,1,,2,2128.02,2184.31,1570.45,3006.81,7887.81,1303.56,3930.19,23219.29,7180.09,119.75,12051.7
12901,19,Plattsburgh,NY,Clinton,F,M,49,N,89,3,2,5,2,3,,,1,1,1,1,Y,S,1988,195,10,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,,2,1687.22,1410.7,1593.18,2288.63,6501.35,1147.9,3679.21,19304.38,5395.35,102.11,9996.58
19087,91,Wayne,PA,Montgomery,F,M,51,O,255,2,48,3,2,1,,,,1,,1,Y,S,1989,0,15,,,1,1,1,,,,1,1,1,,1,,1,,1,1,1,1,,,,1,,1,,6,2057.57,1691.03,1964.76,3147.38,8035.72,1831.84,4484.2,18822.13,6932.78,119.41,13355.7
11598,59,Woodmere,NY,Nassau,F,M,38,M,250,1,6,3,2,1,,,1,,,1,Y,S,1996,0,8,,,,,,,,,,1,1,,1,,,,1,1,1,1,1,,,,,1,,1,2467.81,2658.03,2405.52,3207.98,8438.87,1627.86,5451.71,26472.63,9545.39,152.05,15026.53
2043,23,Hingham,MA,Plymouth,M,M,58,N,108,3,0,4,3,1,,,,,,1,Y,S,1900,638,14,1,1,1,1,,,,1,1,1,1,1,1,,1,,,1,1,1,,,1,,,1,,1,2037,2426.89,1942.61,3823.57,10075.91,1893.57,6052.49,24804.73,9833.58,190.83,14638.99
90046,37,Los Angeles,CA,Los Angeles,F,M,42,H,255,1,0,4,4,0,,,,,,,Y,S,1923,999,15,1,1,1,1,,,,1,,1,1,,1,,,,,1,1,1,,,1,,,1,,3,1611.24,1363.45,1180.78,2447.57,6616.74,947.66,3076.06,20500.45,5134.65,100.33,9782.81
33496,99,Boca Raton,FL,Palm Beach,M,M,21,O,170,,0,4,3,1,,,,,,1,Y,S,1988,982,5,1,,1,1,,,,,,1,1,,1,1,,,1,1,1,1,,,1,,,1,,1,1567.63,2388.46,601.12,2644.12,6985.23,901.25,5066.75,18052.93,5229.91,106.08,12957.57
7652,3,Paramus,NJ,Bergen,F,M,41,H,76,2,0,4,3,1,,,,,,1,Y,S,1986,482,6,,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,7,2465.05,2255.4,3161.65,3331.87,8647.55,2785.93,5533.17,27443.85,8552.68,185.75,14392.36
90068,37,Los Angeles,CA,Los Angeles,F,M,46,N,78,2,2,3,2,1,,,,,1,1,Y,S,1947,999,4,1,1,1,,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,,1,,6,1777.76,1697.91,1414.04,2879.37,7379.6,1179.19,3548.44,22899.23,6491.53,120.86,11279.74
94583,13,San Ramon,CA,Contra Costa,M,,0,O,181,,0,3,3,0,,,,,,,Y,S,1980,880,4,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,3,2469.34,3027.79,2128.62,3726.5,9247.39,1597.49,4631.84,26770.49,9564.62,141.68,14601.91
11747,103,Melville,NY,Suffolk,M,S,54,O,255,3,3,7,4,3,,,,1,1,1,Y,S,2000,794,11,1,,1,,,1,,,,,1,1,1,,,,,,1,,1,,,,,1,,7,2419.95,2734.62,2212.52,3147.03,8367.1,1659.33,5628.1,25738.41,9175.17,159.25,14318.33
53704,25,Madison,WI,Dane,M,M,54,O,141,2,34,5,3,2,,1,,1,,1,Y,S,,409,14,1,1,1,,,,,1,1,1,1,1,1,,1,,,1,1,1,,,1,1,,1,,6,1546.2,1827.08,1070.61,2819.57,6555.11,704.69,3642.71,17437.67,6108.82,96.02,10635.16
94501,1,Alameda,CA,Alameda,F,S,74,K,255,1,0,4,3,0,,,,,,,Y,S,1920,710,15,1,,,1,,,,,,1,1,,1,,,,1,1,,1,,,1,,,1,,2,2027.78,2444.29,1543.63,2968.8,7746.34,1326.27,4013.42,22876.08,6889.81,119.09,12164.22
8816,23,East Brunswick,NJ,Middlesex,F,M,56,K,148,1,6,6,4,2,,,,1,1,1,Y,S,1993,480,14,1,1,1,1,,,,1,1,1,1,,1,,1,,1,1,1,1,1,,1,,,1,,1,2740.01,1945.67,3884.88,3370.73,9347.42,3412.88,5189.15,29587.1,8876.24,182.78,15022.47
98075,33,Sammamish,WA,King,F,M,51,O,109,3,41,3,2,1,,,,,1,1,Y,S,1978,638,15,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,,2,1921.98,2952.95,1623.18,6374.79,11927.22,1766.86,4376.96,25564.62,9785.26,176.06,15860.77
11566,59,Merrick,NY,Nassau,M,M,28,O,156,,0,4,4,0,,,,,,,Y,S,1955,657,9,,,,1,1,,,,1,1,1,,1,,1,,,1,,1,1,,,,,1,,2,2574.5,2588.72,2723.53,3215.02,8464.66,1753.49,5449.37,26589.06,9846.51,150.1,14925.5
